dim,func,algo,mse_train,mse_val,time_s,n_evals
3,gl,backprop,0.028394361034365025,0.028502506809965054,4.198621988296509,25000
3,gl,ray,0.02720257488305505,0.028786416503657267,4.063769817352295,25000
3,gl,gwo,0.01924849502595622,0.018946301768453057,4.666309833526611,25000
3,gl,hybrid,0.018402231927562716,0.017921715308578258,4.392709255218506,25000
3,gs,backprop,0.06524726131518933,0.06417006133250497,4.1998913288116455,25000
3,gs,ray,0.06374961030515804,0.06395146394020347,4.179839849472046,25000
3,gs,gwo,0.03390068309115596,0.034858660037618325,4.807291030883789,25000
3,gs,hybrid,0.03740800651131264,0.037687064039178,4.4191508293151855,25000
3,geta,backprop,0.06949602842752085,0.06259440365418477,4.208020210266113,25000
3,geta,ray,0.06991454561459609,0.0697075975815631,4.058879852294922,25000
3,geta,gwo,0.019188919082387856,0.020338187872762044,4.784116983413696,25000
3,geta,hybrid,0.016890092280092413,0.01798916368198782,4.431364059448242,25000
3,ggamma,backprop,0.11818783714854336,0.11965721675400984,4.182159900665283,25000
3,ggamma,ray,0.11505831432774577,0.11728765570310806,4.122385025024414,25000
3,ggamma,gwo,0.09065910185393312,0.09933969298616958,4.779486894607544,25000
3,ggamma,hybrid,0.07183174427723425,0.08831296587453615,4.461024045944214,25000
3,complex,backprop,0.03513333798096815,0.03506200353690355,4.236411809921265,25000
3,complex,ray,0.02767058656165724,0.026065365164889186,4.098903179168701,25000
3,complex,gwo,0.018781996146318994,0.019040285566335007,4.677620887756348,25000
3,complex,hybrid,0.015105974540553629,0.017904358955262087,4.3781797885894775,25000
